한국어,English,한자
기상,Weather,
기후,climate,
예보 (예보하다),Forecast,
고기압 ,High,
저기압,low pressure,
쾌청하다,"Fine (clear, fair)",
좋은 날씨,Good weather,
나쁜 날씨,bad weather,
날씨가 맑다 ,Clear,
날씨가 흐리다,cloudy,
"끼다 (구름, 안개)","To form (clouds, fog)",
강수량 (강우량),Amount of rainfall (precipitation),
비가 오다 (내리다),It is raining,
소나기,(rain) shower,
이슬비 (가랑비),Drizzle (sprinkle),
장마 전선 (장마철),Monsoon front (monsoon season),
폭설 (눈보라 ),blizzard,
함박눈,Large snowflakes,
천둥 (천둥이 치다),thunder,
번개 (번개가 치다),lighting,
우박이 치다 (내리다),It is hailing (lit. hail strikes/hail falls),
바람이 불다,Wind blows,
태풍,Typhoon,
회오리 바람,Whirlwind,
황사,Yellow sand,
따뜻하다,Warm (tender),
포근하다,cozy,
덥다 ,Hot,
무덥다,muggy,
더위 (폭염),heat wave,
시원하다,Cool,
쌀쌀하다,chilly,
춥다,Cold,
한파,cold wave,
계절,season,
봄,spring,
여름,summer,
가을,autumn,
겨울,winter,
춘하추동,Four seasons (hanja),
파도 (물결),wave,
파도가 (높게) 일다,Waves rise,
해상 (해상의 물결),Maritime (waves on the sea),
시속 (초속),Speed per hour (per second),
산간지방,Mountain area,
해안지방,Coastland,
내륙 지방,inland,
최고 기온 (최저 기온),Highest (lowest) temperature,
영상 (영하),Above (below) zero,
섭씨 (화씨),Celsius (Fahrenheit),
일출,Sunrise,
일몰,Sunset,
기상청,weather bureau,
꽃샘추위,A sudden frost ,
천고마비,"autumn (""sky is high and horses are fat"")",
