한국어,English,한자
병 (질환),Sickness (disease),
내장 (장기),organ,
간,Liver,
폐,Lung,
위,Stomach,
심장,heart,
유전자,DNA/gene,
예방하다 (예방 주사),Prevention (immunization),
감기,Cold,
독감 (플루),flu,
기승을 부리다,Something is more terrible than usual,
심장 마비,Heart attack,
식중독 (가스 중독),Food (gas) poisoning,
중독 (게임 중독),Addiction (game/video addiction),
신경정신과,Dept. of mental health,
치매,Dementia (Alzheimer's ),
발병 (발병률),Occurrence of a disease (emergence rate),
복부 지방,Abdominal fat,
복부 비만 (뚱뚱하다),Obesity (to be fat),
체중 (몸무게),Body weight,
땀,sweat,
과식,Over eating,
폭식,Snack,
군것질,eating between meals,
중풍 (뇌졸중),stroke,
안락사 (존엄사),Euthanasia (death w/ dignity),
(불치가) 치유가 불가능하다,Incurable,
식욕,Appetite,
심근 경색,Myocardial infarction (cardiac infarction),
불면증,insomnia,
보건소,Public Health Center,
어지럼증,Dizziness/vertigo,
체온,Body temperature,
신장,Kidney,
대장,colon,
의식 불명,insensibility,
백혈병,Leukemia,
감염,infection,
위장 장애,Gastro enteric trouble,
위산 분비,Stomach acid secretion,
위궤양,gastric ulcer,
당뇨병,Diabetes,
경련,spasm,
과도하다,excessive,
섭취하다,Intake (ingest),
복용하다,Take (specifically 약알을),
"우울증 (산후 우울증, 주부 우울증)","Depression (PPD, housewife depression)",
신체 (정신) 질환,Physical (mental) illness,
헌혈,Blood donation,
생수 (약수 ),Mineral water,
"기증자 (장기 기증, 안구 기증)","Donor (organ donor, eye donor)",
졸도하다,Faint,
쓰러지다,"Collapse (faint, breakdown)",
정신을 잃다,black out (lose consciousness),
의식을 잃다,"pass out (lose consciousness, faint, black out)",
응급 조치,First aid,
인공 호흡,CPR (mouth to mouth),
맥박 (~을 재다),Pulse (measure),
혈압 (~을 재다),blood pressure (measure),
혈액 검사,A blood test,
혼수 상태,coma,
뇌사,Brain death,
내과,Internal medicine,
외과,surgery,
"이식 (골수 이식, 피부이식, 각막이식)","Transplant (bone marrow, skin, corneal)",
영양소,nutrient,
임신 (임신부),Pregnancy (pregnant woman),
출산 (저출산율),Childbirth (low birth rate),
단백질,protein,
자연 분만,Natural childbirth,
제왕 절개,C-section,
유산,Miscarry,
낙태,abortion,
성형 수술,Plastic surgery,
마취,Anesthesia,
최면,hypnosis,
기억 상실,Loss of memory,
유발하다,Arouse/cause,
이롭다,Beneficial,
해롭다,harmful,
만성적,Chronic,
급성,acute,
암 환자,Cancer patient,
임상 실험,Clinical demonstration,
흡연 (간접 흡연),Smoking (second hand smoking),
이비인후과,E.N.T,
